                       ,Game,Company,Created By,Created,Company Domain,Channels,Notes (old),Contacted,Sales Material,Campaign Preview,SQL,SQL (+ Region),SQL (+Project Stage),SQL (Gaming),Score,ICP,Fundraising,Team,Wishlists,Publisher,Release Date,Game Currency,Currency Name,Webshop,Webshop URL,NFT,NFT Marketplace/Contract URL,Coin,ERC20 contract URL,Blockchain,Region,Uses competitor,Project Stage,Company Founded,Roadmap URL,Twitter Created,Twitter Followers,Discord Members,Game Domain,Youtube Video URL,Twitter Tweet URL,Discord Invite URL,Discord Server ID,Q1 - Type,Q1 - Points,Q1 - Title,Q1 - Description,Q2 - Type,Q2 - Points,Q2 - Title,Q2 - Description,Q3 - Type,Q3 - Points,Q3 - Title,Q3 - Description,Q4 - Type,Q4 - Points,Q4 - Title,Q4 - Description,Q5 - Type,Q5 - Points,Q5 - Title,Q5 - Description
Web3 Gaming,My Pet Hooligan,AMGI Studios,Prasanth,6/9/2023,amgistudios.com,"Discord Ticket , email , DM community head",,,Not needed,,Yes,No,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/mypethooligan,Using,https://etherscan.io/token/0x09233d553058c2f42ba751c87816a8e9fae7ef10,Ethereum,Unknown,Unknown,,,,,"91,900","29,293",https://www.mypethooligangame.com/,https://www.youtube.com/watch?v=KFqlhRp_V7k,https://twitter.com/mypethooligan/status/1673832399971700737,,,Daily,100,Victory is mine,Win a FFA (free for all) match,Custom,500,My pet hoodiegan,Buy a hoodie from the merch store,Custom,75,Subscribe your email address,Sign up today to My Pet Hooligan™ newsletter,Daily,250,Kill the wabbit,Kill 3 players within 15 seconds with the Plunger Rifle ,Custom,50,Say your pwayers,Kill someone in mid air after hopping on a jump button
Web3 Gaming,Battle Saga,Battle Saga,Prasanth,6/9/2023,battlesaga.io,"TG , Discord DM. New Game",,,Not needed,,Yes,No,No,No,9,Available,Raised funds,2-10,,,,,,,,Comming Soon,https://www.battlesaga.io/nfts,Using,https://bscscan.com/token/0x708955Db0d4c52FFBf9AA34aF7f3CA8bf07390a8,BNB,Asia,Unknown,Beta,July 2021,https://www.battlesaga.io/,Nov 2021,"55,000","24,300",https://www.battlesaga.io/,,https://twitter.com/BattleSagaio/status/1683691485219405825,,,Daily,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Playzap,Playzap,Prasanth,6/9/2023,playzap.games,Ticket in Discord,,,Not needed,,Yes,No,No,No,9,Available,Raised funds,>10,,,,,,,,Not using yet,,Using,https://bscscan.com/token/0x6ad9E9c098a45B2B41b519119C31c3DcB02ACcB2,BNB,Asia,Zealy,Beta,June 2021,https://cdn.discordapp.com/attachments/954633497706889249/1091336541894357134/spaces2F0K4e3YWc9uFQsfnn2NoX2Fuploads2Fbdru80ADBCFtcd31f3202Fcontent20-20WP.png,Dec 2021,"57,200","13,904",https://www.playzap.games/,https://www.youtube.com/watch?v=aZ388bOB0O0,https://twitter.com/PlayZapGames/status/1684835186700148736,,,Daily,50,Bingo,Win a game of Bingo against another player,Custom,50,Freeball leauge,Points for simpily participating in the leauge,Daily,25,Join a PVP match,Points for wagering in a PVP match against another player for the prize pool,Custom,50,your own avatar,Create your own custom avatar within the app,Custom,100,Topping up,Add PZP to your game wallet
Web3 Gaming,Mobox,Mobox,Prasanth,6/11/2023,https://www.mobox.io/,DM Cofounder in DIscord,,,Not needed,,Yes,No,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://www.binance.com/en/nft/collection/mobox-momoverse-avatar-545430208828309504?isBack=1,Using,https://bscscan.com/token/0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,BNB,Asia,Galxe,Beta,,https://faqen.mobox.io/mobox-platform/roadmap,Feb 2020,"331,600","12,780",https://www.mobox.io/home/#/iframe/momoverse,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Meta Apes,Meta Apes,Prasanth,6/11/2023,metaapesgame.com,"Business Email , Discord DM",,,Not needed,,Yes,No,No,No,9,Available,Raised funds,2-10,,,,,,,,Using,https://plat.metaapesgame.com/index,Using,https://bscscan.com/token/0x734548a9e43d2D564600b1B2ed5bE9C2b911c6aB,BNB,Asia,Zealy,Post Launch,June 2022,https://discord.com/channels/953073785261670461/989732959366025236,March 2022,"54,000","17,000",https://metaapesgame.com/,https://www.youtube.com/watch?v=ZAoEltV3SqE,https://twitter.com/MetaApesGame/status/1554745110713483264,,,Custom,250,Level 20,Reach level 20 on an Ape fighter,Daily,200,Complete 3 Quests,Points for completing 3 in game quests,Custom,750,Nuceular city,Aquire a nuceular space city ,Custom,50,Ape collector,Buy a meta ape from the marketplace ,Custom,250,Peel trader,25000 Peel in trading volume from the wallet on the meta apes marketplace
Web3 Gaming,Dark Land Survival,Big Cat Studio,Prasanth,6/11/2023,https://darkland.io/,DM admin in TG or Discord,,,Not needed,,No,No,No,No,9,Available,No funds raised,2-10,,,,,,,,Using,https://opensea.io/collection/dark-land-survival,Using,https://bscscan.com/token/0x6fdda284250795dfbab53955da78de4b6f72c4f9,BNB,Asia,Unknown,Post Launch,,,Dec 2021,81600,12500,https://darkland.io/,https://www.youtube.com/watch?v=wFBy5LmUMOI,https://twitter.com/DarkLandGame/status/1687086102648381440,https://discord.com/invite/5TqqMHX9Sz,920632603848110121,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Taco,Taco,Prasanth,6/11/2023,https://tacocrypto.io,DM in TG or Discord,,Contacted,Complete,https://dashboard.thx.network/preview/653fcd76d7a0a2f9105a1ff1,Yes,Yes,No,No,9,Available,No funds raised,>10,,,,,,,,Using,https://app.tacocrypto.io/marketplace,Using,https://wax.bloks.io/account/taco,WAX,Europe,Unknown,,,,,15000,"10,500",https://tacocrypto.io,https://www.youtube.com/watch?v=behQDCt9SqQ,https://twitter.com/tacowax/status/1630979196083220481,https://discord.com/invite/tacocrypto,868814263169458206,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Wombat Dungeon Master,Spielworks,Prasanth,6/11/2023,spielworks.com,Email Community head or DM in Discord,,Contacted,Complete,https://dashboard.thx.network/preview/64be311e2ac414538a335a3c,Yes,Yes,No,No,10,Available,Raised funds,>10,,,,,,,,Using,https://eos.atomichub.io/explorer/collection/eos-mainnet/wombatchamps,Using,https://polygonscan.com/token/0x0C9c7712C83B3C70e7c5E11100D33D9401BdF9dd,Polygon,Europe,Galxe,,,,,"7,879","90,500",https://dungeon.wombat.app/,https://www.youtube.com/watch?v=CytaXGrEM-U,https://twitter.com/adoptwombat/status/1683432127969505280,,,Custom,250,seasonal abundance,Open a season pass pack,Referral,50,Treasure hunter,Get a reward out of the daily treasure chest,Custom,200,Worker wombat,Get a million contribution in a single day,Social,200,Ten Days of Wombat ,Play 10 consectutive days,,,,
Web3 Gaming,Alien Worlds,Dacoco,Prasanth,6/12/2023,daco.co.th,DM TG Admin,,Contacted,Complete,https://dashboard.thx.network/preview/64be3114f2e2f87f1c699df6,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://play.alienworlds.io/profile/points,Using,https://bscscan.com/token/0x2222227e22102fe3322098e4cbfe18cfebd57c95,BNB,Europe,Unknown,,,,,"117,900","42,377",https://alienworlds.io/,,,,,Custom,100,Embark on a Cosmic Odyssey,Create an account and start playing Alien worlds,Custom,50,"Hi ho, and off we go!",In your mining hub equip 3 tool NFTS to help grow your TLM,Social,100,Submarine Mining Expedition,Mine on planet neri in a waterzone,Social,50,Ciphered Gateway,Points for attending a event via link,,,,
Web3 Gaming,Upland,Upland,Prasanth,6/12/2023,upland.me,Partnership Form,,Contacted,Complete,https://dashboard.thx.network/preview/64ca1397428d802ae432f9a3,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://play.upland.me/store?tab=specialPackage,Using,https://www.upland.me/marketplace-analytics,EOS,North America,Unknown,,,,,"93,700","30,500",https://www.upland.me/,https://www.youtube.com/watch?v=Z0lhXUZBOSQ,https://twitter.com/UplandMe/status/1682061402914144261,https://discord.com/invite/8p4tVr2,599294224285827072,Custom,250,Build this city,Make a transaction above 4.99,Custom,100,Event attendee,Join an event in the event hub,Custom,50,Treasure hunter,Participate in a treasure hunt,Referral,500,Neverending friendship,refer a friend and points rewarded after they make a payment,,,,
Web3 Gaming,Benji Bananas,Animoca Brands,Prasanth,6/13/2023,animocabrands.com,Discord Ticket,,,Complete,https://dashboard.thx.network/preview/64be310a2ac414538a3359f6,Yes,Yes,No,No,6,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/benji-bananas-membership-pass,Using,https://etherscan.io/token/0xCA5b0AE1d104030a9B8F879523508EFd86c14483,Ethereum,Europe,Own Reward System,Post Launch,,,,"18,400","2,830",https://benjibananas.com/,N/A,https://twitter.com/BenjiBananas/status/1681978186824044547,https://discord.com/invite/benji-bananas,1001701585648357427,Custom,250,Membership Acquisition,Buy a membership pass from Opensea,Daily,100,Banana Economy,Spend your bananas on different things in the store,Daily,200,The Thousand Fruit Challenge,Get 1000 bananas in a single gameplay run,Social,50,Join amioca brands discord,Join amioca brands discord,,,,
Web3 Gaming,Playbite,Playbite,Prasanth,6/13/2023,playbite.com,DM Admin in Discord,Not Web3,,Not needed,,No,No,No,No,4,Available,Raised funds,>10,,,,,,,,Not using,https://app.playbite.com/shop,Unknown,,Unknown,North America,Unknown,Post Launch,May 2022,https://discord.com/channels/876983102281494539/1084881408616571011,Aug 2018,871,5100,https://www.playbite.com/,https://www.youtube.com/watch?v=TmYDR0KzT7A,https://twitter.com/getplaybite/status/1634310106669015044,https://discord.com/invite/ks3FzZ847a,876983102281494539,Daily,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Pixels,Pixels,Prasanth,6/13/2023,https://www.pixels.xyz/,Partnership Form Custom,,Contacted,Complete,https://dashboard.thx.network/preview/64cca57c7b548f86363d36d0,Yes,Yes,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/pixels-farm,Using,https://polygonscan.com/token/0x537b9F8b41D331C89326454256CC2853ACb8a435,Polygon,North America,Own Reward System,,,,,"116,000","118,341",https://www.pixels.xyz/,https://www.youtube.com/watch?v=9UaLv8Nwumw,https://twitter.com/pixels_online/status/1686814659440168960,https://discord.com/invite/pixels,907099564127977483,Custom,50,Ready to work,Buy an axe from bucks store,Custom,25,"Soft, Medium or Sous Vide",Gather eggs from your chickens,Custom,50,Scarrot Pie,Cook a scarrot pie and eat it,Custom,300,Reach level 10,Points for reaching a level 10 character,Custom,250,Enjoying Pixels,Complete 10 in game quests!
Web3 Gaming,Tiny World,Tiny World,Prasanth,6/13/2023,tinyworld.biz,Google Form,,,Not needed,,No,No,No,No,9,Not available,Raised funds,Unknown,,,,,,,,Using,https://www.binance.com/en-IN/nft/collection/tiny-world-hero-nft-600300046585487360,Using,https://bscscan.com/token/0x05ad6e30a855be07afa57e08a4f30d00810a402e,BNB,Unknown,Blockheads,,,,,"56,000","37,600",,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Ultiverse,Ultiverse,Prasanth,6/14/2023,ultiverse.io,Ticket in Discord,Closed,,Not needed,,No,No,No,No,10,Available,Raised funds,>10,,,,,,,,Unknown,,Unknown,,EVM chain,Unknown,Unknown,,,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Meta Merge,Ultiverse,Prasanth,6/14/2023,ultiverse.io,Ticket in Discord,Closed,,Not needed,,No,No,No,No,10,Available,Raised funds,>10,,,,,,,,Unknown,,Unknown,,EVM chain,Unknown,TaskOn,,,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Realm NFT,Realm NFT,Prasanth,6/14/2023,NOT FOUND,DM TG or Ticket in Discord,,,Not needed,,No,No,No,No,7,Available,No funds raised,2-10,,,,,,,,Using,https://atomichub.io/explorer/collection/wax-mainnet/realmnftgame,Using,https://wax.bloks.io/account/realmnftgame,WAX,Unknown,Unknown,,,,,"11,300","9,500",,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Gods Unchained,ImmutableX,Prasanth,6/14/2023,immutabullx.com,Email,,,Not needed,,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://aqua.xyz/gu/search/cards?utm_content=website&utm_medium=cross-link&utm_source=https%3A%2F%2Fgodsunchained.com%2F&sortBy=gu-cards_USDC_price_asc&row=0,Using,https://etherscan.io/token/0xccc8cb5229b0ac8069c51fd58367fd1e622afd97,Ethereum,Oceania,Unknown,,,,,"125,600","104,434",https://godsunchained.com/,https://www.youtube.com/watch?v=t_U4bcCcJi8,https://twitter.com/GodsUnchained/status/1683854749521649665,https://discord.com/invite/godsunchained,457152051239976961,Custom,100,Cards of fate,Buy a card pack!,Custom,50,Kill 3 enemy creatues in a single blow ,Kill 3 enemy creatues in a single blow from one of your cards,Referral,250,Refer a friend ,Refer a friend and have him buy packs,Daily,25,Play a match in gods unchained,Play a match in gods unchained,,,,
Web3 Gaming,Battle World,Battle World,Prasanth,6/14/2023,battleworld.game,Tg DM Bebo,CLosed,,Not needed,,No,No,No,No,3,Available,Unknown,Unknown,,,,,,,,Unknown,,Unknown,,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Farmers World,G.JIT Japan,Prasanth,6/15/2023,NOT FOUND,Email & DM in Discord,,,Not needed,,No,No,No,No,9,Available,No funds raised,Unknown,,,,,,,,Using,https://wax.atomichub.io/market?collection_name=farmersworld&order=desc&sort=created,Unknown,,WAX,Asia,Unknown,,,,,"103,000","60,000",,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Blockchain Brawlers,Tyranno Studios,Prasanth,6/15/2023,tyranno.io,Email & Custom form  ( Under WAX Mg ),,,Not needed,,No,No,No,No,9,Available,No funds raised,2-10,,,,,,,,Using,https://opensea.io/collection/bc-brawlers?search[query]=Starter%20Pack,Using,https://waxblock.io/account/bcbrawlers,WAX,Unknown,Unknown,,,,,"51,000","23,800",,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Prospectors,Wecan,Prasanth,6/15/2023,wecan.dev,Telegram DM CMO,,,Not needed,,Yes,Yes,No,No,4,Available,Raising funds,>10,,,,,,,,Using,https://wax.atomichub.io/explorer/collection/wax-mainnet/prospectorsa,Unknown,,WAX,Europe,Unknown,Beta,Aug 2021,https://prospectors.medium.com/,April 2017,"9,100","4,200",https://grandland.prospectors.io/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,R-Planet,Wecan,Prasanth,6/15/2023,wecan.dev,Telegram DM CMO,,,Not needed,,Yes,Yes,No,No,6,Available,No funds raised,>10,,,,,,,,Using,https://wax.atomichub.io/explorer/collection/wax-mainnet/rplanet,Unknown,,WAX,Europe,Unknown,Alpha,,,,"28,800",,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Topia,Topia,Prasanth,6/15/2023,topia.com,DM in Discord,,,Not needed,,No,No,No,No,12,Not available,No funds raised,Unknown,,,,,,,,Using,https://opensea.io/collection/topia-worlds,Using,https://etherscan.io/address/0xccccb68e1a848cbdb5b60a974e07aae143ed40c3,Polygon,North America,Unknown,,,,,"121,800","77,500",,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,DeFi Kingdoms,DeFi Kingdoms,Prasanth,6/15/2023,defikingdoms.com,Partnership Form,,,Not needed,,No,Yes,No,No,9,Available,No funds raised,>10,,,,,,,,Using,https://merch.defikingdoms.com/,Using,https://snowtrace.io/token/0x4f60a160D8C2DDdaAfe16FCC57566dB84D674BD6,AVAX,North America,Unknown,,,,,"113,000","76,751",,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Neopets Metaverse,Neopets Metaverse,Phillip,6/15/2023,neopetsmeta.io,,Game is closed,,Not needed,,Yes,No,No,No,10,Available,Raised funds,>10,,,,,,,,Using,https://magiceden.io/marketplace/neopets_metaverse,Unknown,,Polygon,Asia,Unknown,,,,,"34,000","9,870",https://www.neopetsmeta.io/,N/A,N/A,N/A,N/A,Daily,50,Login to Neopets!,Reward for logging in,Daily,100,Complete all of our games in a single session,Play and complete all of our games in a single session,Daily,100,Feed your neopet some delicious food,rewarded for taking care of your neopet,Daily,250,Battle arena,rewarded for battling your neopet,,,,
Web3 Gaming,Champions Ascension,Plai Labs,Phillip,6/15/2023,plailabs.com,Collab Email,,Contacted,Complete,https://dashboard.thx.network/preview/64ca2f54aefc41bb48e7aa87,Yes,Yes,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/champions-ascension-prime-eternal,Using,https://polygonscan.com/token/0xb48c032f2d7a4158b10f8e88a1f1249119493c72,Polygon,North America,Unknown,,,,,"40,600","81,680",https://champions.io/,https://www.youtube.com/watch?v=BLp9iSqT8Po,https://twitter.com/ChampionsIO/status/1685013766243573761,https://discord.com/invite/championsascension,912425349260922890,Custom,500,Play in our esports leauge,rewarded for participating in one of our upcoming esports tournaments (they are livestreamed and get a bit of attention),Custom,50,Karkadon Crab winner,Win a game of Karkadon Crab races ,Custom,25,Beserker,Beat an opponent while under 3% HP,Daily,25,Talking to NPCs ,Visit the flower market NPC in game,Custom,150,3v3 king,Win 7 3v3 matches consectuviely in a row
Web3 Gaming,,Hardball Games,Phillip,6/15/2023,hardball.games,,,,Not needed,,No,No,No,No,4,Available,Raised funds,>10,,,,,,,,Not using,,Not using,,EVM chain,Europe,Unknown,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Omega Royale,Tower Pop,Phillip,6/15/2023,omegaroyale.com,,,,Not needed,,No,No,No,No,6,Unknown,Raised funds,>10,,,,,,,,Not using yet,,Not using,,Polygon,Europe,Unknown,,,,,"2,133","2,800",,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Kingdomverse,Kingdomverse,Phillip,6/15/2023,kingdomverses.com,Telegram DM,,,Not needed,,Yes,No,No,No,6,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/dtk-genesis,Using,https://etherscan.io/token/0x149d8290f653deb8e34c037d239d3d8eee9de5ad,Ethereum,Asia,Unknown,,,,,"37,200","1,750",https://kingdomverse.xyz/,N/A,https://twitter.com/Kingdomverse_/status/1685219109426937856,https://discord.com/invite/kingdomverse,1111056141959581786,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Legions & Legends,Azra Games,Phillip,6/15/2023,http://azragames.com,Discord Ticket,,Contacted,Complete,https://dashboard.thx.network/preview/64ca2f5eaefc41bb48e7aaa3,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/azragames-thehopeful,Using,https://etherscan.io/token/0xc4973de5ee925b8219f1e74559fb217a8e355ecf,Ethereum,North America,Sesame Labs,,,,,"18,000","24,900",https://legionsandlegends.com/,https://www.youtube.com/watch?v=WTj_1VwRPLo,https://twitter.com/legions_legends/status/1590410555793494016,https://discord.com/invite/azra,943555255210213406,Social,25,Watch our youtube teaser,free points for watching youtube content,Social,25,Keep me updated ,Points for following our Twitter account,Social,,Join our Discord,Points for joining our discord server,Social,25,Share sneak peak,Points for retweeting sneak peak footage on twitter,,,,
Web3 Gaming,Ultimate Champions,Unagi,Phillip,6/15/2023,https://beta.ultimate-champions.com/,Google form,Followed up with email if no reply email again in 3days,Contacted,Complete,https://dashboard.thx.network/preview/64cca5897b548f86363d36fd,Yes,Yes,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://beta.ultimate-champions.com/,Using,https://polygonscan.com/token/0xED755dBa6Ec1eb520076Cec051a582A6d81A8253,Polygon,Europe,Galxe,,,,,"37,100","24,000",https://beta.ultimate-champions.com/,https://www.youtube.com/watch?v=mtTPVf4KagQ,https://twitter.com/UltiChamps/status/1687146312205049870,https://discord.com/invite/JFEun4SpP3,905036209389191168,Custom,250,Obtain a mythic rarity card ,Obtain a mythic rarity card from a pack,Daily,50,Beginner entry,Create a team lineup for the beginnner entry,Custom,50,List an item,succefully sell a card on the marketplace,Social,25,Join Discord,Points for joining the ultimate champions discord,,,,
Web3 Gaming,Matr1x,Matr1x,Phillip,6/15/2023,matrxxfitness.com,Discord Ticket,,,Not needed,,Yes,No,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/yatc,Unknown,,Polygon,Asia,TaskOn,,,,,"144,000","72,440",https://matr1x.io/,https://www.youtube.com/watch?v=pFBsVSAqogA,https://twitter.com/Matr1xOfficial/status/1687074272316203008,https://discord.com/invite/matr1x,945923281536569454,Custom,50,Triple kill,Kill 3 enemies consectively in game,Custom,125,battle royale champion,Come out as the winner in the battle royale gamemode,Custom,125,Bomb aquired,Plant the EMP 3 times in the gamemode,Custom,25,Sneaky kill,Kill an enemy from behind with a knife,,,,
